stat,p,direction,p_fdr,feature,target,importance_mean,rank,selection_frequency,evidence_score,tier
0.7336437968747502,1.2613469733392627e-54,1.0,1.324414322006226e-53,pair_14,glass_adhesion_kpa,0.14312280416488649,1,1.0,0.9857142857142858,high
0.25313838195336535,5.201794025887385e-06,1.0,8.402898041818084e-06,Cationic-ATAC,glass_adhesion_kpa,0.06118075251579286,2,1.0,0.9714285714285715,high
0.6169408575125637,1.579036477004208e-34,1.0,5.526627669514728e-34,Hydrophobic-BA,glass_adhesion_kpa,0.05047651648521425,3,1.0,0.9571428571428573,high
-0.2272718925516791,4.551331312736217e-05,-1.0,6.826996969104326e-05,pair_03,glass_adhesion_kpa,0.04983650565147398,4,1.0,0.9428571428571428,high
-0.40818600469209587,4.0583857408773044e-14,-1.0,8.52261005584234e-14,pair_12,glass_adhesion_kpa,0.027686339616775503,7,1.0,0.9000000000000001,high
-0.6316805030738977,1.353878624489722e-36,-1.0,5.686290222856833e-36,pair_01,glass_adhesion_kpa,0.03942674040794371,5,0.9,0.8885714285714286,high
0.6150896956815314,2.820213850371511e-34,1.0,8.460641551114533e-34,pair_13,glass_adhesion_kpa,0.034599924087524415,6,0.9,0.8742857142857143,high
0.6645009215004927,1.270708742585049e-41,1.0,8.894961198095344e-41,pair_34,glass_adhesion_kpa,0.015133235454559324,9,1.0,0.8714285714285714,high
0.15540455147335083,0.005632837167334593,1.0,0.00788597203426843,pair_24,glass_adhesion_kpa,0.013645840883255034,11,1.0,0.842857142857143,high
0.6106278230791995,1.1235922162858592e-33,1.0,2.9494295677503806e-33,Aromatic-PEA,glass_adhesion_kpa,0.008686057329177866,13,1.0,0.8142857142857143,high
-0.7359539835615817,3.947502668149115e-55,-1.0,8.289755603113142e-54,Nucleophilic-HEA,glass_adhesion_kpa,0.018811397552490217,8,0.8,0.8057142857142858,high
-0.6540604776012033,5.905927029373018e-40,-1.0,3.100611690420835e-39,pair_02,glass_adhesion_kpa,0.0057914626598357995,14,1.0,0.8,high
-0.5227812391532529,1.4587053458805248e-23,-1.0,3.403645807054558e-23,Acidic-CBEA,glass_adhesion_kpa,0.0035875833034515357,17,1.0,0.7571428571428571,high
0.2910599153853995,1.3793305058525172e-07,1.0,2.633267329354805e-07,pair_45,glass_adhesion_kpa,0.003981648683547967,15,0.9,0.7457142857142858,high
0.1472020351319636,0.008776446395837186,1.0,0.011519085894536308,pair_15,glass_adhesion_kpa,0.0026865279674530007,20,1.0,0.7142857142857143,high
0.2836235003941506,2.936216757154695e-07,1.0,5.138379325020717e-07,pair_35,glass_adhesion_kpa,0.0020960259437560968,21,1.0,0.7,high
0.05369393904793609,0.3414073085912032,1.0,0.3584776740207634,pair_04,glass_adhesion_kpa,0.01036875128746032,12,1.0,0.5285714285714286,moderate
-0.07534740001829364,0.18155039302185288,-1.0,0.21180879185882837,pair_23,glass_adhesion_kpa,0.013739578723907464,10,0.8,0.4771428571428572,moderate
-0.05584755715723052,0.3223666504003718,-1.0,0.35629998202146357,pair_05,glass_adhesion_kpa,0.0033560991287231333,18,1.0,0.4428571428571429,low
0.09170169978633293,0.1037169223307013,1.0,0.1281209040555722,Amide-AAm,glass_adhesion_kpa,0.003687405586242676,16,0.9,0.4314285714285715,low
-0.01746027799481484,0.7571889806030815,-1.0,0.7571889806030815,pair_25,glass_adhesion_kpa,0.0032467353343963667,19,0.8,0.34857142857142864,low
