grid_value,target_index,pd_mean,pd_sd,feature,target
0.0,0,32.72417068481445,26.870500564575195,Cationic-ATAC,glass_adhesion_kpa
0.011582790001442555,0,34.43223571777344,27.213274002075195,Cationic-ATAC,glass_adhesion_kpa
0.02316558000288511,0,37.56304168701172,27.871530532836914,Cationic-ATAC,glass_adhesion_kpa
0.034748370004327664,0,43.09144973754883,28.988929748535156,Cationic-ATAC,glass_adhesion_kpa
0.04633116000577022,0,49.89442443847656,30.09157943725586,Cationic-ATAC,glass_adhesion_kpa
0.05791395000721278,0,54.158206939697266,30.51963233947754,Cationic-ATAC,glass_adhesion_kpa
0.06949674000865533,0,55.74808120727539,30.52293586730957,Cationic-ATAC,glass_adhesion_kpa
0.08107953001009789,0,56.18519973754883,30.35335350036621,Cationic-ATAC,glass_adhesion_kpa
0.09266232001154044,0,56.16957473754883,30.110193252563477,Cationic-ATAC,glass_adhesion_kpa
0.10424511001298299,0,55.938270568847656,29.84947967529297,Cationic-ATAC,glass_adhesion_kpa
0.11582790001442556,0,55.588096618652344,29.601451873779297,Cationic-ATAC,glass_adhesion_kpa
0.1274106900158681,0,55.16339874267578,29.37446403503418,Cationic-ATAC,glass_adhesion_kpa
0.13899348001731066,0,54.67799377441406,29.163888931274414,Cationic-ATAC,glass_adhesion_kpa
0.1505762700187532,0,54.12722396850586,28.96049690246582,Cationic-ATAC,glass_adhesion_kpa
0.16215906002019578,0,53.4970817565918,28.755247116088867,Cationic-ATAC,glass_adhesion_kpa
0.17374185002163833,0,52.77061462402344,28.541318893432617,Cationic-ATAC,glass_adhesion_kpa
0.18532464002308088,0,51.933250427246094,28.314977645874023,Cationic-ATAC,glass_adhesion_kpa
0.19690743002452343,0,50.977928161621094,28.075904846191406,Cationic-ATAC,glass_adhesion_kpa
0.20849022002596598,0,49.9096565246582,27.827072143554688,Cationic-ATAC,glass_adhesion_kpa
0.22007301002740856,0,48.74787139892578,27.574081420898438,Cationic-ATAC,glass_adhesion_kpa
0.0,0,50.488040924072266,31.794443130493164,pair_03,glass_adhesion_kpa
0.00495120959454461,0,51.35875701904297,31.980289459228516,pair_03,glass_adhesion_kpa
0.00990241918908922,0,52.237674713134766,32.13052749633789,pair_03,glass_adhesion_kpa
0.014853628783633832,0,53.02339553833008,32.210384368896484,pair_03,glass_adhesion_kpa
0.01980483837817844,0,53.57389831542969,32.15101623535156,pair_03,glass_adhesion_kpa
0.02475604797272305,0,53.746646881103516,31.855113983154297,pair_03,glass_adhesion_kpa
0.029707257567267664,0,53.443050384521484,31.257070541381836,pair_03,glass_adhesion_kpa
0.03465846716181227,0,52.576454162597656,30.3881893157959,pair_03,glass_adhesion_kpa
0.03960967675635688,0,51.04746627807617,29.441984176635742,pair_03,glass_adhesion_kpa
0.044560886350901496,0,48.91156005859375,28.725261688232422,pair_03,glass_adhesion_kpa
0.0495120959454461,0,46.858333587646484,28.606407165527344,pair_03,glass_adhesion_kpa
0.054463305539990715,0,45.37420654296875,28.664958953857422,pair_03,glass_adhesion_kpa
0.05941451513453533,0,43.99419403076172,28.59507179260254,pair_03,glass_adhesion_kpa
0.06436572472907993,0,42.2958984375,28.272809982299805,pair_03,glass_adhesion_kpa
0.06931693432362454,0,40.29457092285156,27.7984619140625,pair_03,glass_adhesion_kpa
0.07426814391816916,0,38.57622528076172,27.59798240661621,pair_03,glass_adhesion_kpa
0.07921935351271377,0,37.43069839477539,27.616403579711914,pair_03,glass_adhesion_kpa
0.08417056310725837,0,36.608177185058594,27.631820678710938,pair_03,glass_adhesion_kpa
0.08912177270180299,0,35.95094680786133,27.602783203125,pair_03,glass_adhesion_kpa
0.0940729822963476,0,35.400634765625,27.537294387817383,pair_03,glass_adhesion_kpa
0.03505081739276648,0,43.68025588989258,32.857177734375,pair_01,glass_adhesion_kpa
0.042268363170717894,0,44.45641326904297,33.1690673828125,pair_01,glass_adhesion_kpa
0.049485908948669305,0,45.38456344604492,33.5743293762207,pair_01,glass_adhesion_kpa
0.05670345472662072,0,46.417354583740234,34.0877799987793,pair_01,glass_adhesion_kpa
0.06392100050457214,0,47.40386199951172,34.65838623046875,pair_01,glass_adhesion_kpa
0.07113854628252356,0,48.176395416259766,35.10454559326172,pair_01,glass_adhesion_kpa
0.07835609206047497,0,48.688594818115234,35.31122970581055,pair_01,glass_adhesion_kpa
0.08557363783842638,0,49.028099060058594,35.253387451171875,pair_01,glass_adhesion_kpa
0.0927911836163778,0,49.210227966308594,34.980674743652344,pair_01,glass_adhesion_kpa
0.1000087293943292,0,49.18638229370117,34.327571868896484,pair_01,glass_adhesion_kpa
0.10722627517228062,0,48.981197357177734,33.237247467041016,pair_01,glass_adhesion_kpa
0.11444382095023203,0,48.35810470581055,31.77033042907715,pair_01,glass_adhesion_kpa
0.12166136672818345,0,47.32677459716797,30.197595596313477,pair_01,glass_adhesion_kpa
0.12887891250613487,0,46.22613525390625,28.861684799194336,pair_01,glass_adhesion_kpa
