token,condition,n,attention_mean
CLS,all,316,0.017801547423005104
mod1_block1,all,316,0.07581871002912521
mod1_block2,all,316,0.08801838755607605
mod1_block3,all,316,0.03587425872683525
mod1_block4,all,316,0.05135883763432503
mod1_block5,all,316,0.02776777558028698
mod1_block6,all,316,0.042145803570747375
mod2_block1,all,316,0.1866529881954193
mod2_block2,all,316,0.2677658796310425
mod2_block3,all,316,0.10477659851312637
mod2_block4,all,316,0.10201925039291382
