dataset,n_samples,n_features,n_targets,n_groups,max_group_frac,n_duplicate_rows,pct_missing,n_constant_features,n_inf,y_missing
internal,316,21,1,316,0.0031645569620253164,0,0.0,0,0,0.0
external,25,21,1,25,0.04,0,0.0,0,0,0.0
