tag,model,seed,fold,target,n_test,epochs,swa_used,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
main,SIMPLEX,42,0,glass_adhesion_kpa,36,121,False,0.6601290702819824,19.353040100532333,13.940863609313965,0.5829845070838928,0.8234935402870178,0.8311454311454312,0.8458152482056207
main,SIMPLEX,42,1,glass_adhesion_kpa,36,121,False,0.7189904451370239,18.952606521144062,14.47097110748291,0.530103325843811,0.857488214969635,0.8694980694980694,0.867186907250525
main,SIMPLEX,42,2,glass_adhesion_kpa,37,121,False,0.7780835628509521,18.25519560969005,14.498252868652344,0.47108012437820435,0.8823865056037903,0.8660502607871028,0.9021245578011179
main,SIMPLEX,42,3,glass_adhesion_kpa,36,131,False,0.7996196746826172,17.042976360157596,12.360623359680176,0.4476385712623596,0.9030771255493164,0.9321063150777066,0.9047075585466192
main,SIMPLEX,42,4,glass_adhesion_kpa,35,121,False,0.5651018619537354,22.377564693489955,15.668976783752441,0.6594680547714233,0.7757883667945862,0.773669467787115,0.7730266632027849
main,SIMPLEX,2024,0,glass_adhesion_kpa,36,121,False,0.7289271354675293,18.43502697927406,12.604537010192871,0.5206465125083923,0.8538381457328796,0.8393822393822393,0.8667075831151254
main,SIMPLEX,2024,1,glass_adhesion_kpa,36,121,False,0.755771279335022,17.92766702940423,13.964458465576172,0.49419501423835754,0.8700160980224609,0.8487032645156583,0.8812964834434716
main,SIMPLEX,2024,2,glass_adhesion_kpa,37,143,False,0.7059504985809326,19.813425710333544,15.300949096679688,0.5422633290290833,0.8448160886764526,0.8385987804429651,0.8413894504803747
main,SIMPLEX,2024,3,glass_adhesion_kpa,36,125,False,0.6197867393493652,21.371341860765025,14.661924362182617,0.6166143417358398,0.8194345831871033,0.8584851037791082,0.8419532279780587
main,SIMPLEX,2024,4,glass_adhesion_kpa,35,121,False,0.7959494590759277,16.8739338855938,13.138026237487793,0.4517195224761963,0.8936804533004761,0.8882352941176471,0.9064536376816342
main,SIMPLEX,7,0,glass_adhesion_kpa,36,121,False,0.7676342129707336,15.80396966440142,10.669567108154297,0.4820433557033539,0.8861280083656311,0.8869296626899302,0.9105695539593506
main,SIMPLEX,7,1,glass_adhesion_kpa,36,121,False,0.7815829515457153,17.17999214571861,13.013555526733398,0.46735113859176636,0.8860352039337158,0.8708411112697821,0.8951872872516949
main,SIMPLEX,7,2,glass_adhesion_kpa,36,200,False,0.6324294805526733,24.278229632368816,16.46605682373047,0.6062758564949036,0.8059811592102051,0.848906048906049,0.8267563321629267
main,SIMPLEX,7,3,glass_adhesion_kpa,36,122,False,0.8043451905250549,15.884360609961758,12.463805198669434,0.44232887029647827,0.912254273891449,0.8578415617223023,0.9181490122641055
main,SIMPLEX,7,4,glass_adhesion_kpa,36,121,False,0.8216742277145386,14.469266219024107,11.83329963684082,0.42228633165359497,0.9076372981071472,0.9096525096525098,0.9324530869830047
main,SIMPLEX,1337,0,glass_adhesion_kpa,36,121,False,0.6767691373825073,20.728759925212827,14.75377082824707,0.5685339570045471,0.8243331909179688,0.8610038610038611,0.8284188214841767
main,SIMPLEX,1337,1,glass_adhesion_kpa,36,121,False,0.7111464142799377,19.16340162690493,13.845695495605469,0.5374510288238525,0.8495588898658752,0.8154964943844721,0.8581339483345832
main,SIMPLEX,1337,2,glass_adhesion_kpa,37,177,False,0.802218496799469,14.730077705463213,11.532512664794922,0.44472628831863403,0.914226770401001,0.9134660976766238,0.8999161653298742
main,SIMPLEX,1337,3,glass_adhesion_kpa,36,172,False,0.6782506704330444,21.06248478648375,13.193317413330078,0.5672295093536377,0.8420510292053223,0.804942404652855,0.8359506263159276
main,SIMPLEX,1337,4,glass_adhesion_kpa,35,121,False,0.640446662902832,22.68743946918578,16.967878341674805,0.5996276140213013,0.8084796667098999,0.8448179271708683,0.8266953787412445
main,SIMPLEX,20260731,0,glass_adhesion_kpa,36,121,False,0.7368065714836121,19.68942977893294,14.339470863342285,0.513023853302002,0.862298846244812,0.8411094682453483,0.8604457895980195
main,SIMPLEX,20260731,1,glass_adhesion_kpa,36,126,False,0.6680091023445129,19.791816577009012,14.090861320495605,0.5761865377426147,0.8266631960868835,0.8478764478764479,0.8296089671264816
main,SIMPLEX,20260731,2,glass_adhesion_kpa,36,121,False,0.7120629549026489,19.40055648162895,14.358230590820312,0.5365976691246033,0.8502036333084106,0.8684684684684685,0.8704727725827851
main,SIMPLEX,20260731,3,glass_adhesion_kpa,36,121,False,0.809596598148346,15.96926789461069,12.184755325317383,0.43635237216949463,0.9035502672195435,0.8820387430582052,0.9198467480134426
main,SIMPLEX,20260731,4,glass_adhesion_kpa,36,138,False,0.7799094319343567,16.24080456474236,13.857744216918945,0.46913814544677734,0.8849990963935852,0.8807516589445933,0.9048391255172753
