seed,fold,epoch,train_loss,val_loss
42,0,0,0.3026563674211502,0.41077956557273865
42,0,1,0.32878022640943527,0.4097660183906555
42,0,2,0.31515419483184814,0.40775424242019653
42,0,3,0.4131045565009117,0.4053081274032593
42,0,4,0.3734869137406349,0.40242767333984375
42,0,5,0.37788357585668564,0.399787962436676
42,0,6,0.38943326473236084,0.397298663854599
42,0,7,0.39320046454668045,0.3952102065086365
42,0,8,0.37720827013254166,0.3929964005947113
42,0,9,0.32970745116472244,0.3906662166118622
42,0,10,0.3543303608894348,0.3881610333919525
42,0,11,0.36320699006319046,0.3854186236858368
42,0,12,0.36356092244386673,0.3817790746688843
42,0,13,0.3753586485981941,0.3776501715183258
42,0,14,0.3967769220471382,0.3731078803539276
42,0,15,0.32019761204719543,0.36862313747406006
42,0,16,0.338359110057354,0.3629189431667328
42,0,17,0.3059128299355507,0.35634467005729675
42,0,18,0.3223177529871464,0.3494916558265686
42,0,19,0.3571432940661907,0.34257635474205017
42,0,20,0.3522578999400139,0.33528950810432434
42,0,21,0.32231534644961357,0.3272000849246979
42,0,22,0.39153990149497986,0.31879952549934387
42,0,23,0.30224350839853287,0.31119999289512634
42,0,24,0.24335750937461853,0.3062438368797302
42,0,25,0.3219909928739071,0.2944658696651459
42,0,26,0.3040837422013283,0.2779351770877838
42,0,27,0.2931007966399193,0.265184611082077
42,0,28,0.19255033135414124,0.26217153668403625
42,0,29,0.25902943685650826,0.24753330647945404
42,0,30,0.2249484546482563,0.2364412397146225
42,0,31,0.22672808915376663,0.22288598120212555
42,0,32,0.2131148837506771,0.2141464352607727
42,0,33,0.18850934877991676,0.206224724650383
42,0,34,0.1888042762875557,0.1949625462293625
42,0,35,0.17688429728150368,0.19285576045513153
42,0,36,0.19435211084783077,0.19751621782779694
42,0,37,0.24722133204340935,0.18774892389774323
42,0,38,0.19601910188794136,0.17536745965480804
42,0,39,0.2074337862432003,0.18707531690597534
42,0,40,0.19233094528317451,0.17186152935028076
42,0,41,0.15390217676758766,0.1778673380613327
42,0,42,0.1865311861038208,0.1828276365995407
42,0,43,0.18515495397150517,0.19092340767383575
42,0,44,0.1923842504620552,0.1932767927646637
42,0,45,0.1901918239891529,0.17440631985664368
