tag,model,seed,fold,target,n_test,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC,TopK20,TopK30
baseline,Mean,42,0,glass_adhesion_kpa,63,-0.0015274286270141602,69.5921467877752,55.679325103759766,1.0007634162902832,,,0.0,0.0,0.1
baseline,Ridge,42,0,glass_adhesion_kpa,63,0.7610645294189453,33.99140731838526,28.22597885131836,0.4888102412223816,0.8767054677009583,0.8700076804915514,0.884792501302836,0.75,0.9333333333333333
baseline,ElasticNet,42,0,glass_adhesion_kpa,63,0.7583179473876953,34.18621455535842,28.338178634643555,0.49161165952682495,0.8753175139427185,0.8637672811059907,0.8833638375222598,0.75,0.9333333333333333
baseline,KNN,42,0,glass_adhesion_kpa,63,0.7446232956548768,35.14143216382364,25.339432653991555,0.5053480863571167,0.8787224151184202,0.8843125960061445,0.8864470561698617,0.8,0.9
baseline,SVR-RBF,42,0,glass_adhesion_kpa,63,0.7572697875682571,34.26026641720156,25.850893400941878,0.4926765561103821,0.871074446928903,0.861847158218126,0.8796670400998523,0.8,0.9
baseline,RandomForest,42,0,glass_adhesion_kpa,63,0.7846621271654131,32.26926155426607,24.145787413538628,0.46404507756233215,0.8872844133439171,0.8932891705069125,0.8956952946413143,0.75,0.9
baseline,HistGB,42,0,glass_adhesion_kpa,63,0.7807994832481415,32.557391706301246,23.890807210886006,0.4681885540485382,0.8874376045103133,0.9037058371735791,0.9000813124652688,0.75,0.8666666666666667
baseline,MLP,42,0,glass_adhesion_kpa,63,0.5930627584457397,44.36010423405529,34.81201934814453,0.6379163265228271,0.7937892079353333,0.7550403225806452,0.8050120006455976,0.7,0.9333333333333333
baseline,Mean,42,1,glass_adhesion_kpa,64,-0.0052032470703125,80.72169589088178,61.30247497558594,1.0025982856750488,0.0,0.0,0.0,0.0,0.13333333333333333
baseline,Ridge,42,1,glass_adhesion_kpa,64,0.8243312835693359,33.74508608613908,26.239215850830078,0.41912850737571716,0.9140340089797974,0.863939192973503,0.9080291046373394,0.9,0.8666666666666667
baseline,ElasticNet,42,1,glass_adhesion_kpa,64,0.8243306279182434,33.74514939101433,26.206350326538086,0.41912928223609924,0.9141196608543396,0.8640536644586861,0.9079361813982355,0.9,0.8666666666666667
baseline,KNN,42,1,glass_adhesion_kpa,64,0.8766642502576487,28.27534120399087,22.36510421525445,0.351191908121109,0.939185916793086,0.9261201037249348,0.9483524530026928,0.9,0.8333333333333334
baseline,SVR-RBF,42,1,glass_adhesion_kpa,64,0.7784879119879887,37.893269680618324,28.970946306142388,0.47065073251724243,0.8966335493441933,0.8371986540347429,0.8745155926290918,0.9,0.8666666666666667
baseline,RandomForest,42,1,glass_adhesion_kpa,64,0.8857855194465464,27.2097122936942,20.6703608157802,0.33795636892318726,0.9437003100201449,0.9359417571536404,0.9502805129171941,0.95,0.8
baseline,HistGB,42,1,glass_adhesion_kpa,64,0.8517213872738295,31.00292162026618,23.66351776014362,0.3850696384906769,0.923524321607978,0.9069575771052925,0.9350149332455225,0.9,0.8333333333333334
baseline,MLP,42,1,glass_adhesion_kpa,64,0.8503739833831787,31.143464888695952,23.699687957763672,0.38681524991989136,0.928314745426178,0.9008905883905911,0.9254052962426367,0.9,0.8
baseline,Mean,42,2,glass_adhesion_kpa,63,-0.006025195121765137,67.26049813504952,56.08679962158203,1.0030081272125244,,,0.0,0.05,0.3
baseline,Ridge,42,2,glass_adhesion_kpa,63,0.6478604674339294,39.79358361438437,27.928356170654297,0.5934134721755981,0.8105809688568115,0.8563748079877113,0.8160273695547774,0.8,0.8
baseline,ElasticNet,42,2,glass_adhesion_kpa,63,0.6458069086074829,39.90944798022064,28.029726028442383,0.5951412916183472,0.8094675540924072,0.8567588325652843,0.8148771060794894,0.8,0.8
baseline,KNN,42,2,glass_adhesion_kpa,63,0.545599591121986,45.203806077986314,26.503787429385717,0.6740923523902893,0.7670252553857718,0.8802803379416283,0.7791150149703316,0.85,0.8333333333333334
baseline,SVR-RBF,42,2,glass_adhesion_kpa,63,0.6367437913730813,40.41682271127238,29.015986751285528,0.6027074456214905,0.8087318301671084,0.8235407066052227,0.8065835248230098,0.75,0.8
baseline,RandomForest,42,2,glass_adhesion_kpa,63,0.654595522730339,39.41119720864976,24.862695728079768,0.5877112746238708,0.8120948199802145,0.8788882488479263,0.817900876778582,0.75,0.8333333333333334
baseline,HistGB,42,2,glass_adhesion_kpa,63,0.5871612703534786,43.086960931114334,29.11926585372325,0.642525315284729,0.7891854252160346,0.8573348694316437,0.8016676823553581,0.75,0.8
baseline,MLP,42,2,glass_adhesion_kpa,63,0.553246259689331,44.82184515093477,31.32384490966797,0.6683964133262634,0.7593242526054382,0.8217645929339479,0.7601560705614013,0.75,0.7666666666666667
baseline,Mean,42,3,glass_adhesion_kpa,63,-0.0009019374847412109,75.77688776104492,59.50799560546875,1.0004507303237915,,,0.0,0.1,0.2
baseline,Ridge,42,3,glass_adhesion_kpa,63,0.7275539636611938,39.53495535994065,27.361553192138672,0.5219635963439941,0.8699852228164673,0.9337077572964669,0.8826699460528048,0.8,0.8666666666666667
baseline,ElasticNet,42,3,glass_adhesion_kpa,63,0.7270340919494629,39.57265463823709,27.371265411376953,0.5224613547325134,0.8698197603225708,0.932603686635945,0.8824812064382908,0.8,0.8666666666666667
baseline,KNN,42,3,glass_adhesion_kpa,63,0.8199707085400142,32.13753858746721,23.265490040090047,0.42429858446121216,0.9107217675448157,0.8959773425499233,0.921486973397404,0.8,0.8
baseline,SVR-RBF,42,3,glass_adhesion_kpa,63,0.7811564534475215,35.43299778913631,25.828553091289493,0.46780717372894287,0.8852266762752902,0.8870007680491552,0.8863227134211037,0.8,0.8666666666666667
baseline,RandomForest,42,3,glass_adhesion_kpa,63,0.826112540034332,31.58458368164138,22.400965245188534,0.41699814796447754,0.9092144797794335,0.9073540706605223,0.9196816530432824,0.85,0.8333333333333334
baseline,HistGB,42,3,glass_adhesion_kpa,63,0.7649285888960347,36.72323502968744,26.279064159090947,0.48484164476394653,0.8759570309567624,0.8698365458665711,0.8872819737604732,0.75,0.8
baseline,MLP,42,3,glass_adhesion_kpa,63,0.7640167474746704,36.79439183500405,28.519775390625,0.48578107357025146,0.8760332465171814,0.8630472350230416,0.8830687678171875,0.8,0.8666666666666667
baseline,Mean,42,4,glass_adhesion_kpa,63,-9.298324584960938e-06,75.18841892102633,60.306610107421875,1.0000046491622925,,,0.0,0.0,0.26666666666666666
baseline,Ridge,42,4,glass_adhesion_kpa,63,0.81706702709198,32.1584327186801,24.799901962280273,0.42770659923553467,0.9043455719947815,0.8425840364474407,0.9160035293391334,0.9,0.8333333333333334
baseline,ElasticNet,42,4,glass_adhesion_kpa,63,0.8173819780349731,32.13074106652965,24.814380645751953,0.4273383319377899,0.9044874906539917,0.8428240546888444,0.9160975092159074,0.9,0.8333333333333334
baseline,KNN,42,4,glass_adhesion_kpa,63,0.8847765844037517,25.522270844243497,19.016502477830006,0.3394457697868347,0.9416887186125775,0.9214540305726734,0.9563278668919155,0.9,0.8666666666666667
baseline,SVR-RBF,42,4,glass_adhesion_kpa,63,0.7899523222429927,34.459413609184,26.68782051393275,0.4583096504211426,0.8914635768733026,0.8356235074467354,0.8905339199614583,0.9,0.8333333333333334
baseline,RandomForest,42,4,glass_adhesion_kpa,63,0.8851417738667492,25.481793563043215,17.93325292018528,0.3389074504375458,0.9419823890881505,0.9236621983935865,0.9513464754788986,0.95,0.8333333333333334
baseline,HistGB,42,4,glass_adhesion_kpa,63,0.8325271371166005,30.76955128020067,20.33284983715939,0.40923452377319336,0.9133862487682507,0.9048796294073878,0.9230660416672201,0.9,0.8333333333333334
baseline,MLP,42,4,glass_adhesion_kpa,63,0.7929803133010864,34.210133761111265,28.295703887939453,0.45499420166015625,0.89133220911026,0.7959724939668559,0.8948616041658665,0.9,0.7666666666666667
baseline,Mean,2024,0,glass_adhesion_kpa,64,-0.0011529922485351562,71.18371711305367,55.78996658325195,1.0005762577056885,,,0.0,0.0,0.16666666666666666
baseline,Ridge,2024,0,glass_adhesion_kpa,64,0.6554381847381592,41.76034034093382,31.416057586669922,0.586993932723999,0.8185679912567139,0.8158882783882783,0.8299097079346197,0.85,0.8333333333333334
baseline,ElasticNet,2024,0,glass_adhesion_kpa,64,0.6556406617164612,41.748067297144125,31.392385482788086,0.5868213772773743,0.8185995817184448,0.815018315018315,0.8299150915358506,0.85,0.8333333333333334
baseline,KNN,2024,0,glass_adhesion_kpa,64,0.6354698644452141,42.95336110278001,25.79444241900049,0.6037632822990417,0.8217604897550803,0.8869963369963368,0.8338431371267194,0.85,0.8666666666666667
baseline,SVR-RBF,2024,0,glass_adhesion_kpa,64,0.7179827490870229,37.78054964651824,24.48037892250298,0.5310529470443726,0.8527360995319941,0.8974358974358972,0.8635350221187283,0.85,0.8666666666666667
baseline,RandomForest,2024,0,glass_adhesion_kpa,64,0.7137113707847227,38.065582857842834,25.574296482603643,0.5350594520568848,0.8479600839234953,0.8879578754578753,0.858055611607153,0.85,0.8666666666666667
baseline,HistGB,2024,0,glass_adhesion_kpa,64,0.6887668487253544,39.68929270891545,25.61648088010741,0.5578827261924744,0.8389339016410575,0.8921245421245422,0.8512178552290048,0.85,0.8666666666666667
baseline,MLP,2024,0,glass_adhesion_kpa,64,0.4604637026786804,52.25655517343016,39.625144958496094,0.7345313429832458,0.7279336452484131,0.6672161172161172,0.7391479964992234,0.85,0.8
baseline,Mean,2024,1,glass_adhesion_kpa,63,-0.0048601627349853516,70.4864514906943,59.239501953125,1.002427101135254,,,0.0,0.05,0.16666666666666666
baseline,Ridge,2024,1,glass_adhesion_kpa,63,0.8391409516334534,28.201719364209982,23.040977478027344,0.40107235312461853,0.9197506904602051,0.8941266834056708,0.9284586834771819,0.85,0.9
baseline,ElasticNet,2024,1,glass_adhesion_kpa,63,0.8391646146774292,28.19964270399206,23.03880500793457,0.4010428190231323,0.9197644591331482,0.8941266834056708,0.9284721264396284,0.85,0.9
baseline,KNN,2024,1,glass_adhesion_kpa,63,0.8302139179792352,28.973692216706908,21.923904168701505,0.4120510220527649,0.9217267108532051,0.9302498622558141,0.9294577997744812,0.8,0.9333333333333333
baseline,SVR-RBF,2024,1,glass_adhesion_kpa,63,0.7745003758464929,33.39071434210795,26.06325133281241,0.47486793994903564,0.8844321339904319,0.9097520584431745,0.8975459427350452,0.75,0.9
baseline,RandomForest,2024,1,glass_adhesion_kpa,63,0.8046431334921056,31.079007362306246,23.56938768922607,0.4419918954372406,0.8996334698439669,0.9287857334120541,0.9079112920096412,0.8,0.9333333333333333
baseline,HistGB,2024,1,glass_adhesion_kpa,63,0.7616606447719381,34.32817212177487,25.154754858455007,0.48820003867149353,0.8763356019466194,0.9157765886035639,0.8879070343819225,0.75,0.9333333333333333
baseline,MLP,2024,1,glass_adhesion_kpa,63,0.7635068297386169,34.19496355059561,26.261552810668945,0.4863056540489197,0.8738131523132324,0.8072390372677847,0.8807431115424269,0.85,0.8666666666666667
baseline,Mean,2024,2,glass_adhesion_kpa,63,-0.011885404586791992,67.14785894529699,55.34169387817383,1.0059250593185425,,,0.0,0.05,0.13333333333333333
baseline,Ridge,2024,2,glass_adhesion_kpa,63,0.7832069993019104,31.080580793180268,23.723222732543945,0.4656103551387787,0.9007588028907776,0.8756585501128608,0.9086137206092846,0.8,0.9
baseline,ElasticNet,2024,2,glass_adhesion_kpa,63,0.7857859134674072,30.89516219998337,23.582462310791016,0.46283262968063354,0.902039647102356,0.8751785136300536,0.9097626809771345,0.8,0.9
baseline,KNN,2024,2,glass_adhesion_kpa,63,0.8078477014608374,29.26100791254651,20.52702658807617,0.4383517801761627,0.9428415234843318,0.9402714606987179,0.9327726187814103,0.8,0.9333333333333333
baseline,SVR-RBF,2024,2,glass_adhesion_kpa,63,0.8406409728622661,26.64739898266649,19.45380766278147,0.3991979658603668,0.9193396057229896,0.9006924526912593,0.9330414222052463,0.8,0.9
baseline,RandomForest,2024,2,glass_adhesion_kpa,63,0.8604774113391591,24.933816119667906,17.426741608603525,0.3735272288322449,0.9390981042846801,0.934727039322294,0.9457193547081822,0.8,0.8666666666666667
baseline,HistGB,2024,2,glass_adhesion_kpa,63,0.8013269511426364,29.753356635044145,21.02125667808827,0.44572752714157104,0.9123878457606994,0.9127413684097215,0.919930174229394,0.8,0.8333333333333334
baseline,MLP,2024,2,glass_adhesion_kpa,63,0.7077888250350952,36.08401688301986,29.48031234741211,0.5405656099319458,0.8555123209953308,0.7843316092587798,0.8692585031506934,0.8,0.8
baseline,Mean,2024,3,glass_adhesion_kpa,63,-0.00045859813690185547,74.63051565671712,59.02837371826172,1.0002292394638062,,,0.0,0.05,0.16666666666666666
baseline,Ridge,2024,3,glass_adhesion_kpa,63,0.8078235983848572,32.70897172114537,24.588394165039062,0.43837928771972656,0.8994059562683105,0.9203149001536098,0.9113415111654674,0.7,0.8666666666666667
baseline,ElasticNet,2024,3,glass_adhesion_kpa,63,0.8080258369445801,32.69175514548259,24.583162307739258,0.43814849853515625,0.8995048999786377,0.9203149001536098,0.9114200024101016,0.7,0.8666666666666667
baseline,KNN,2024,3,glass_adhesion_kpa,63,0.8533730900255636,28.57088581186205,20.929561104763348,0.38291892409324646,0.9247123999685689,0.9141705069124423,0.934207880651498,0.75,0.8666666666666667
baseline,SVR-RBF,2024,3,glass_adhesion_kpa,63,0.8463802543206438,29.244243084474615,19.937277625544404,0.3919435441493988,0.9208585509732631,0.9035138248847927,0.9299647141666019,0.75,0.8666666666666667
baseline,RandomForest,2024,3,glass_adhesion_kpa,63,0.8663829626179307,27.273933884194754,19.437174287830352,0.3655366003513336,0.9320400553732291,0.9126344086021505,0.9400488113481015,0.7,0.8666666666666667
baseline,HistGB,2024,3,glass_adhesion_kpa,63,0.8435224755572263,29.515004085020372,21.52427473646527,0.39557236433029175,0.9184417815770533,0.91396546144088,0.9297147258600654,0.7,0.8333333333333334
baseline,MLP,2024,3,glass_adhesion_kpa,63,0.7784495949745178,35.119890920691226,27.676189422607422,0.47069141268730164,0.8824945688247681,0.843509984639017,0.8918824944676428,0.75,0.8
