tag,model,seed,fold,target,n_test,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC,TopK20,TopK30
external_single,SIMPLEX,42,0,glass_adhesion_kpa,161,-0.6817355155944824,85.91876500327213,66.8725357055664,1.296817421913147,0.44401541352272034,0.4027892799631931,0.18662376957200139,0.3,0.3333333333333333
external_single,SIMPLEX,42,1,glass_adhesion_kpa,161,-0.5388036966323853,82.18655833586018,63.75780487060547,1.2404853105545044,0.5012993812561035,0.4700713135495745,0.18396770923031727,0.2,0.2
external_single,SIMPLEX,42,2,glass_adhesion_kpa,161,-0.9181473255157471,91.75931279371594,71.04733276367188,1.3849719762802124,0.29734548926353455,0.16765585461237636,0.100078420842343,0.05,0.13333333333333333
external_single,SIMPLEX,42,3,glass_adhesion_kpa,161,-2.0068717002868652,114.88587237722052,96.29492950439453,1.7340333461761475,0.22879000008106232,0.22194329422590292,0.048949131265735114,0.05,0.1
external_single,SIMPLEX,42,4,glass_adhesion_kpa,161,-1.1491270065307617,97.12705616388514,77.90641784667969,1.4659901857376099,0.37611865997314453,0.27685760294455947,0.07484551094485772,0.1,0.1
external_single,SIMPLEX,2024,0,glass_adhesion_kpa,161,-0.7127430438995361,86.70722614872564,66.60551452636719,1.3087180852890015,0.3499622344970703,0.32240050609615833,0.13282854733185467,0.15,0.1
external_single,SIMPLEX,2024,1,glass_adhesion_kpa,161,-0.8095186948776245,89.12318656114412,70.1041488647461,1.3451833724975586,0.5116095542907715,0.4663072233724408,0.1471418950840213,0.1,0.13333333333333333
external_single,SIMPLEX,2024,2,glass_adhesion_kpa,161,-1.4354515075683594,103.39485525764809,90.55752563476562,1.5605932474136353,0.5867192149162292,0.5944559466298598,0.22756609359744906,0.3,0.36666666666666664
external_single,SIMPLEX,2024,3,glass_adhesion_kpa,161,-0.660362720489502,85.37105648377704,67.92798614501953,1.288550615310669,0.5359119176864624,0.49227340694731997,0.23458018085994192,0.05,0.23333333333333334
external_single,SIMPLEX,2024,4,glass_adhesion_kpa,161,-0.6967868804931641,86.30239011210813,67.03038024902344,1.3026076555252075,0.4728214144706726,0.468840579710145,0.2040166125971087,0.1,0.2
external_single,SIMPLEX,7,0,glass_adhesion_kpa,161,-0.789546012878418,88.6299722027275,72.49806213378906,1.337739109992981,0.5857114791870117,0.6406285944329423,0.23496363868416525,0.25,0.4666666666666667
external_single,SIMPLEX,7,1,glass_adhesion_kpa,161,-0.9408845901489258,92.30156079395408,73.517822265625,1.3931562900543213,0.422906756401062,0.3670979986197378,0.14286353288606207,0.0,0.2
external_single,SIMPLEX,7,2,glass_adhesion_kpa,161,-0.6755095720291138,85.7595771801902,68.54066467285156,1.2944146394729614,0.5022163391113281,0.48038877386703477,0.23574359145495682,0.15,0.3
external_single,SIMPLEX,7,3,glass_adhesion_kpa,161,-1.2112460136413574,98.52075348467194,78.04823303222656,1.4870258569717407,0.31355738639831543,0.21650276052449968,0.09582124424722271,0.1,0.1
external_single,SIMPLEX,7,4,glass_adhesion_kpa,161,-1.0401828289031982,94.63324559516597,72.89335632324219,1.4283497333526611,0.3351466953754425,0.35813204508856694,0.15094029109557075,0.1,0.2
external_single,SIMPLEX,1337,0,glass_adhesion_kpa,161,-1.254967212677002,99.48996887249488,78.19319915771484,1.5016547441482544,0.19594822824001312,0.0624942489072924,0.054593793080602866,0.0,0.0
external_single,SIMPLEX,1337,1,glass_adhesion_kpa,161,-0.9610528945922852,92.77988694687551,72.62427520751953,1.4003759622573853,0.4100428819656372,0.373450080515298,0.1202090811722068,0.15,0.2
external_single,SIMPLEX,1337,2,glass_adhesion_kpa,161,-1.7907085418701172,110.67930340910625,95.55113220214844,1.6705414056777954,0.4331049919128418,0.47462330342765124,0.12184489148930339,0.1,0.3
external_single,SIMPLEX,1337,3,glass_adhesion_kpa,161,-1.1276979446411133,96.64160897841829,77.04413604736328,1.458662986755371,0.34379661083221436,0.3529618127444215,0.13684116274621336,0.15,0.3
external_single,SIMPLEX,1337,4,glass_adhesion_kpa,161,-0.6428064107894897,84.91851275542777,66.1281967163086,1.2817200422286987,0.5015169978141785,0.5520876466528641,0.1758071871133173,0.2,0.3333333333333333
external_single,SIMPLEX,20260731,0,glass_adhesion_kpa,161,-1.0786840915679932,95.52200335524795,76.21788024902344,1.441764235496521,0.424611896276474,0.3589832068092938,0.12926838327894655,0.1,0.1
external_single,SIMPLEX,20260731,1,glass_adhesion_kpa,161,-1.0809612274169922,95.57431254657288,75.96514892578125,1.4425536394119263,0.25250744819641113,0.15174833218311481,0.09348308628663242,0.05,0.1
external_single,SIMPLEX,20260731,2,glass_adhesion_kpa,161,-0.7383538484573364,87.35308816360616,67.65583801269531,1.3184664249420166,0.3799026608467102,0.3894755003450656,0.1340502444994151,0.15,0.2
external_single,SIMPLEX,20260731,3,glass_adhesion_kpa,161,-0.6801319122314453,85.87779175775015,66.24951171875,1.2961989641189575,0.44526687264442444,0.4373188405797102,0.17433319869309005,0.15,0.23333333333333334
external_single,SIMPLEX,20260731,4,glass_adhesion_kpa,161,-0.9231083393096924,91.87789642543248,73.03901672363281,1.3867617845535278,0.3847799599170685,0.3607286634460548,0.15089493645161078,0.05,0.13333333333333333
external_ensemble,SIMPLEX,-1,-1,glass_adhesion_kpa,161,-0.9108070135116577,91.58357266043949,72.90637969970703,1.3823193311691284,0.48858460783958435,0.4854353577179665,0.15042245406332297,0.3,0.36666666666666664
