scope,model,target,metric,point,lo,hi,se
internal_oof,SIMPLEX,glass_adhesion_kpa,R2,0.7496942060847387,0.6647410399286678,0.817798134771405,0.03927743013562719
internal_oof,SIMPLEX,glass_adhesion_kpa,RMSE,18.05116916300243,15.429311196243937,20.50986951745138,1.311623383443938
internal_oof,SIMPLEX,glass_adhesion_kpa,MAE,13.182922810316086,11.43084497482909,15.049082163261042,0.926846073114421
external,SIMPLEX,glass_adhesion_kpa,R2,-0.9108073330376969,-1.269845418001436,-0.6345549767584361,0.16122473925165826
external,SIMPLEX,glass_adhesion_kpa,RMSE,91.58357945503668,82.36057374748954,101.08430996039523,4.770849181624698
external,SIMPLEX,glass_adhesion_kpa,MAE,72.90638545877445,64.79534590114717,81.75073337547526,4.4059654839212055
