Cohort,Samples,Features,Targets,Groups,Conditions,Missing (%),Modalities
Internal,180,21,1,180,1,0.0,"monomer_fractions, pairwise_synergy"
External,161,21,1,161,1,0.0,"monomer_fractions, pairwise_synergy"
